Unnamed: 0;Ai;Ce;Ci;Rea;Ria;Rie
SFH_A_Var1;6.98;25.62;2.53;1.03;7.71;0.39
SFH_A_Var2;2.17;20.72;2.56;6.92;7.75;0.37
SFH_A_Var3;1.45;20.72;2.56;15.14;19.22;0.36
SFH_B_Var1;3.12;16.73;1.82;1.88;9.91;0.91
SFH_B_Var2;2.6;13.48;1.98;8.31;9.92;0.78
SFH_B_Var3;0.97;13.42;1.98;17.65;24.77;1.02
SFH_C_Var1;7.34;28.64;3.02;1.11;5.61;0.25
SFH_C_Var2;3.67;27.69;3.46;3.46;5.65;0.19
SFH_C_Var3;2.78;28.65;3.51;7.31;19.65;0.59
SFH_D_Var1;2.58;13.11;1.27;2.26;15.52;0.47
SFH_D_Var2;1.73;10.51;1.27;7.64;23.1;0.26
SFH_D_Var3;0.93;10.51;1.27;19.94;41.75;0.79
SFH_E_Var1;3.79;14.31;1.66;1.41;11.71;0.79
SFH_E_Var2;1.91;11.47;1.68;5.86;17.43;0.73
SFH_E_Var3;1.07;11.47;1.68;14.68;29.27;0.7
SFH_F_Var1;4.8;20.42;1.98;2.32;9.72;0.29
SFH_F_Var2;2.4;16.4;2.02;6.58;14.5;0.3
SFH_F_Var3;1.72;16.39;2.02;13.26;24.38;0.53
SFH_G_Var1;3.79;21.73;2.03;2.81;9.14;0.46
SFH_G_Var2;1.9;20.41;2.16;12.15;8.08;0.45
SFH_G_Var3;1.05;20.41;2.16;16.09;31.86;0.83
SFH_H_Var1;4.16;15.63;1.37;3.72;13.7;0.38
SFH_H_Var2;2.88;14.21;1.71;5.39;28.29;0.33
SFH_H_Var3;1.79;14.21;1.71;14.89;28.69;0.3
SFH_I_Var1;4.54;11.53;1.42;4.89;20.51;0.57
SFH_I_Var2;3.68;11.53;1.42;7.38;20.47;0.47
SFH_I_Var3;2.34;11.53;1.42;15.73;34.48;0.48
